11331953,1,12
10767241,0.884,43
10767241,0.985,43
10767241,0.985,37
10767241,0.935,31
12583942,0.993,1465
10359405,0.986,290
10359405,0.985,290
12824967,0.915,5060
15302476,0.96,825
11401110,0.999,Thirty-two
11401110,0.979,16
11401110,0.983,16
12100806,0.999,77
12100806,0.998,75
10382693,0.877,107
10382693,0.89,150
10382693,0.904,40
14725784,0.829,125
14725784,0.993,125
14725784,0.968,13
14725784,0.996,112
12842055,0.871,110
12583942,0.995,372
12583942,0.996,374
12583942,0.996,358
12583942,0.983,361
12583942,0.998,372
12583942,0.998,374
12583942,1,358
12583942,0.987,361
12114886,0.812,86
12114886,0.87,79
12114886,0.841,500
11516807,0.82,250
11516807,0.84,100
11516807,0.953,50
10437863,0.98,282
10437863,0.974,186
10437863,0.967,186
14725828,0.967,174
12161056,0.987,Two
12161056,1,110
12161056,0.982,260
12870162,0.998,Ten
12870162,0.989,11
12870162,0.989,One
12171833,0.95,Eight
12171833,0.98,12
12171833,0.999,Twenty
12171833,0.855,16
14739053,0.998,240
14739053,1,Two hundred forty six
10866439,0.936,719
10916100,0.823,50
10916100,0.856,22
12383542,0.867,103
11693748,0.988,544
11693748,0.978,941
12962951,0.995,89
12962951,0.997,74
11125723,0.841,109
12681454,0.929,157
11796177,0.948,83
11125723,0.846,Two hundred and fifty-two
11125723,0.999,35
11125723,0.972,10
11125723,0.996,22
11125723,0.992,10
11125723,0.859,44
11849464,0.901,480
11849464,0.994,Twenty-six
15976796,0.893,50
10675071,0.876,4000
15582638,0.913,Two hundred sixty two
11257323,0.994,Sixty-eight
11257323,0.88,25
11888954,0.928,Ninety-five
11888954,0.995,Four
11888954,0.999,Eighty-eight
11888954,0.998,45
11888954,0.991,43
12757988,0.964,112
15976796,0.942,133
15976796,0.954,32
15976796,0.966,21
15976796,0.97,62
15976796,0.956,62
15976796,0.939,39
15976796,0.988,112
15976796,0.959,101
15976796,0.969,101
15976796,0.963,17/30
15976796,0.974,27/49
15976796,0.98,17/40
15976796,0.972,26/39
16750246,0.988,553
16778262,0.91,34
15998547,0.996,31
17161060,0.971,20
17161060,0.972,20
17161060,1,Two
17161060,1,28
17161060,0.954,10
17161060,0.999,16
17161060,0.997,11
17161060,0.993,15
17161060,0.998,38
17161060,1,58
15766995,0.909,160
15766995,0.934,18
15766995,0.969,338
15766995,0.976,338
15766995,0.993,169
15766995,0.986,169
15766995,0.989,169
15766995,0.984,169
17174222,0.998,Six hundred and sixty-two
15781100,0.803,264
15860246,0.997,61
15860246,0.996,61
16431185,0.929,25 000
16431185,0.94,360
16139331,0.985,267
16139331,0.981,3630
16139331,0.969,224
18036453,0.976,30
16185958,0.983,117
16185958,0.946,200
18061276,0.98,204
18061276,0.96,63
18061276,0.915,11
18061276,0.929,12
18061276,0.918,19
16963674,0.988,15
16963674,0.924,10
16963674,0.994,25
18424324,0.969,855
18424324,0.992,574
18424324,0.994,25
18424324,0.997,101
18424324,0.969,72
18424324,0.968,903
18424324,0.972,916
18424324,0.965,903
18424324,0.97,916
17868810,0.967,145
17868810,0.975,80
17437739,0.98,110
17437739,0.989,110
17437739,0.997,260
16236868,1,Ninety-four
16236868,0.938,11
16236868,0.982,13
16236868,0.987,11
18191732,0.821,36
18191732,0.991,15 −
17892986,0.934,Fifty-six
17892986,0.972,51
17892986,0.974,26
17892986,0.963,25
15947323,0.964,168
15947323,0.973,61
15947323,0.963,107
15947323,0.947,114
17448820,1,666
17448820,0.996,1762
17448820,0.998,1762
17099012,0.997,27
17099012,0.998,32
17099012,0.997,13
17099012,0.997,32
17099012,0.998,40
17099012,0.997,Seventy-two
16564210,0.973,30
16564210,0.896,74
16564210,0.924,72
15954919,0.909,44
18641111,0.997,One
18641111,0.927,30
18641111,0.891,24
18641111,0.995,13
18641111,0.998,11
17933438,0.995,One hundred
17113893,0.895,72
17494789,0.993,Thirty-one
17494789,0.816,25
17494789,0.995,17
17494789,0.998,Nine
17494789,0.994,31
17494789,0.996,22
16709464,0.988,829
16709464,0.835,341
16709464,0.872,488
18922335,0.907,968
18922335,0.923,60
18922335,0.908,100
19463397,0.993,316
20724733,0.861,321
18995887,0.995,739
19674806,0.989,50
19674806,0.997,15
19674806,0.997,16
19674806,0.997,19
19303634,0.933,7812
19095130,0.944,50
19303634,0.985,3923
19303634,0.982,615
19303634,0.991,618
19095130,0.945,360
19095130,0.956,360
19095130,0.834,433
19095130,0.996,Sixty-two
19095130,1,11
19095130,0.952,320
18755458,0.913,60
20883929,1,158
19716598,0.964,2739
19716598,0.998,1218
19716598,0.969,5993
19716598,0.999,3006
19716598,0.975,5993
19716598,0.998,3006
20185357,0.866,239
19361602,0.973,38
19501900,0.951,18
19501900,0.989,4447
