doc_id,expectation,mention_text
15492949,1,'0.60'
15492949,0.999,'0.04'
15492949,0.999,'0.008'
15492949,1,'0.26'
15492949,0.998,'0.10'
15492949,1,'0.60'
15492949,1,'0.83'
15492949,0.999,'0.01'
15492949,0.996,'0.07'
15492949,1,'0.51'
15492949,0.996,'0.08'
15492949,0.999,'0.28'
14767293,0.998,'0.0000'
14767293,1,'0.000'
14767293,1,'0.01'
14767293,0.996,'0.01'
14767293,0.999,'0.04'
14767293,0.993,'0.0003'
14767293,0.995,'0.0001'
14767293,0.993,'0.0008'
14767293,0.993,'0.0001'
14767293,0.978,'0.004'
14767293,0.995,'0.0001'
14767293,1,'0.0001'
14767293,0.991,'0.0001'
10974183,1,'0.79'
10974183,0.998,'0.05'
10974183,0.999,'0.06'
10974183,1,'0.05'
10974183,0.997,'0.01'
10974183,1,'0.01'
10974183,1,'0.05'
10974183,1,'0.05'
10974183,1,'0.05'
10974183,1,'0.001'
10974183,0.997,'0.05'
10974183,0.999,'0.05'
18922335,0.999,'0.52'
10974183,0.979,'0.004'
10974183,1,'0.001'
10974183,0.998,'0.001'
10974183,0.998,'0.05'
10974183,0.995,'0.02'
11125723,0.999,'0.001'
11125723,1,'0.001'
11125723,0.994,'0.001'
11125723,0.967,'0.002'
11125723,1,'0.01'
11125723,0.991,'0.160'
11125723,0.992,'0.001'
11125723,0.985,'0.020'
11125723,0.999,'0.016'
11125723,0.994,'0.015'
11125723,1,'0.05'
11125723,0.999,'0.05'
12681454,0.998,'0.001'
12681454,0.999,'0.66'
12681454,1,'0.0001'
12681454,0.999,'0.68'
12681454,1,'0.78'
12681454,1,'0.005'
12681454,0.999,'0.18'
12681454,0.999,'0.001'
12681454,0.999,'0.01'
12681454,0.999,'0.01'
11796177,1,'0.185'
11796177,1,'0.007'
11796177,1,'0.048'
11796177,0.949,'0.001'
11796177,0.996,'0.063'
11796177,0.991,'0.007'
10674226,1,'0.001'
10674226,1,'0.02'
10674226,1,'0.009'
10674226,1,'0.001'
10674226,1,'0.001'
10674226,1,'0.004'
10674226,1,'0.001'
10674226,1,'0.001'
20883929,0.975,'0.05'
20883929,0.949,'0.01'
20883929,0.958,'0.001'
10674226,0.999,'0.18'
10674226,0.999,'0.024'
10674226,1,'0.001'
10674226,1,'0.001'
10674226,0.998,'0.04'
10674226,1,'0.003'
10674226,0.995,'0.04'
11849464,1,'0.046'
11849464,0.999,'0.019'
11849464,1,'0.29'
11849464,0.999,'0.03'
11849464,0.958,'0.6'
11849464,0.999,'0.87'
11849464,1,'0.38'
11849464,0.997,'0.0001'
11849464,0.992,'0.0001'
11849464,0.999,'0.33'
11849464,1,'0.15'
11849464,0.999,'0.002'
11849464,0.99,'0.43'
11849464,0.998,'0.61'
11849464,1,'0.027'
11849464,1,'0.04'
11849464,0.999,'0.62'
11849464,0.999,'0.0001'
11849464,1,'0.98'
11849464,0.997,'0.0003'
11849464,1,'0.009'
11849464,0.999,'0.21'
11849464,0.993,'0.78'
11849464,0.991,'0.72'
11849464,0.994,'0.28'
11849464,1,'0.71'
11849464,1,'0.03'
11849464,0.999,'0.012'
11849464,0.999,'0.028'
11849464,0.997,'0.04'
11849464,0.997,'0.02'
11849464,0.994,'0.63'
11849464,1,'0.85'
11849464,1,'0.04'
11849464,1,'0.02'
11849464,1,'0.81'
11849464,1,'0.12'
11849464,1,'0.48'
11849464,1,'0.73'
11849464,0.999,'0.44'
11849464,0.998,'0.24'
11849464,0.993,'0.42'
11849464,0.998,'0.74'
11849464,0.994,'0.92'
11849464,0.999,'0.30'
15165530,1,'0.001'
15165530,1,'0.001'
15165530,0.999,'0.001'
15165530,0.999,'0.05'
15165530,0.999,'0.02'
15582638,1,'0.035'
15582638,1,'0.27'
15582638,1,'0.69'
15582638,0.997,'0.001'
12684301,1,'0.001'
15582638,0.997,'0.67'
15582638,0.999,'0.84'
15582638,1,'0.006'
15582638,1,'0.020'
12684301,1,'0.02'
12684301,0.999,'0.02'
12684301,1,'0.001'
12684301,1,'0.04'
12684301,1,'0.001'
12684301,1,'0.001'
12684301,1,'0.84'
12684301,0.999,'0.83'
14592306,0.989,'0.04'
14592306,0.966,'0.001'
14592306,0.992,'0.05'
14592306,0.974,'0.007'
14592306,0.983,'0.02'
14592306,0.978,'0.02'
14592306,0.99,'0.01'
14592306,0.961,'0.05'
14592306,0.95,'0.01'
14592306,0.992,'0.05'
14592306,0.987,'0.05'
14592306,0.807,'0.14'
14592306,0.895,'0.28'
14592306,0.992,'0.04'
14592306,0.996,'0.04'
10699612,0.999,'0.0001'
10699612,0.995,'0.0001'
10699612,1,'0.07'
10699612,1,'0.001'
10699612,0.999,'0.0001'
10699612,1,'0.21'
11257323,0.987,'0.00006'
11257323,0.971,'0.0002'
11257323,1,'0.015'
11257323,1,'0.01'
11257323,0.999,'0.04'
11257323,1,'0.003'
11257323,1,'0.05'
11257323,0.978,'0.0005'
11257323,0.973,'0.02'
11257323,1,'0.0001'
11257323,0.996,'0.002'
11257323,0.992,'0.009'
11257323,0.999,'0.001'
11257323,1,'0.002'
11257323,0.999,'0.04'
11257323,1,'0.008'
11257323,0.983,'0.00003'
11257323,0.965,'0.00039'
11888954,1,'0.05'
11888954,1,'0.05'
11888954,0.99,'0.223'
11888954,1,'0.278'
11888954,0.992,'0.01'
11888954,0.999,'0.05'
11888954,1,'0.05'
12472787,1,'0.0001'
10760538,0.97,'0.10'
10760538,0.971,'0.10'
15249439,1,'0.01'
15249439,0.998,'0.05'
12757988,1,'0.05'
15249439,1,'0.01'
12757988,1,'0.05'
12757988,0.997,'0.01'
12757988,1,'0.05'
12757988,0.995,'0.05'
12757988,0.992,'0.01'
15716221,1,'0.0174'
15716221,0.999,'0.0001'
15716221,0.995,'0.0001'
15963388,0.999,'0.001'
15963388,0.991,'0.05'
15963388,0.986,'0.001'
15963388,0.99,'0.001'
15963388,0.999,'0.05'
15963388,0.998,'0.05'
15963388,0.999,'0.226'
15963388,0.999,'0.001'
15963388,1,'0.01'
15963388,1,'0.001'
15963388,1,'0.001'
15963388,1,'0.001'
17157557,0.948,'0.21'
15695126,0.997,'0.02'
15695126,0.999,'0.01'
15695126,1,'0.01'
15695126,0.993,'0.002'
15695126,0.993,'0.02'
15695126,1,'0.01'
15695126,0.998,'0.63'
15695126,0.985,'0.009'
15695126,0.99,'0.92'
15695126,1,'0.7'
15695126,0.999,'0.001'
15695126,1,'0.001'
17574730,1,'0.0181'
17574730,0.999,'0.0089'
17937959,0.993,'0.05'
17937959,0.992,'0.001'
17937959,0.998,'0.05'
17937959,0.998,'0.001'
17937959,0.997,'0.001'
17937959,0.987,'0.001'
17937959,0.988,'0.05'
17937959,0.985,'0.001'
16778262,0.974,'0.13'
16778262,0.997,'0.65'
16778262,1,'0.10'
16778262,0.999,'0.82'
16778262,1,'0.001'
16778262,0.999,'0.12'
16778262,0.998,'0.13'
16778262,1,'0.65'
16778262,1,'0.69'
16778262,0.996,'0.61'
16778262,0.998,'0.66'
16778262,0.998,'0.55'
16778262,1,'0.67'
16778262,0.999,'0.68'
16778262,0.995,'0.41'
16778262,0.999,'0.42'
16778262,0.997,'0.78'
16778262,0.999,'0.54'
16778262,0.999,'0.73'
16778262,0.999,'0.10'
15998547,0.993,'0.78'
15998547,1,'0.0329'
17950147,1,'0.01'
17950147,0.997,'0.01'
17950147,1,'0.01'
17950147,0.997,'0.01'
17950147,1,'0.01'
17950147,1,'0.01'
17950147,0.998,'0.01'
17950147,0.996,'0.01'
17950147,0.999,'0.01'
17950147,0.995,'0.05'
